Name,Street Address,Address,Phone_No,Website,Services Provided
Seniors Rights Victoria COTA VIC,"98 Elizabeth St Melbourne VIC 3000, Australia","Level 4, Block Arcade 98 Elizabeth St Melbourne VIC 3000, Australia",1300 368 821,www.seniorsrights.org.au ,All aspects of elder abuse
Social Security Rights Victoria,"201 Napier St, Fitzroy VIC 3065, Australia","201 Napier St, Fitzroy VIC 3065, Australia",03 9481 0355,www.ssrv.org.au,Social security law
SouthPort Community Legal Service,"154 Liardet Street Port Melbourne  VIC 3207, Australia","154 Liardet Street Port Melbourne  VIC 3207, Australia",03 9646 6066 ,https://www.southportcls.com.au/,"General, including family law, domestic  violence, debt, motor vehicle accidents,  wills, powers of attorney and criminal.  General advice, referrals and limited  casework."
Springvale Monash Legal Service,"5 Osborne Avenue Springvale  VIC 3171, Australia","5 Osborne Avenue Springvale  VIC 3171, Australia",03 9545 7400,www.smls.org.au,All areas except property law
St Kilda Legal Service,"161 Chapel Street St Kilda  VIC 3182, Australia","161 Chapel Street St Kilda  VIC 3182, Australia",03 9534 0777,http://www.skls.org.au,"Casework undertaken in areas such as family law, guardianship and administration, fines, debt, crime, body corporate and neighbour disputes. Legal education provided to community workers and local residents, also undertake law reform activities. Drug outreach and family violence programs are also operated"
Tenants Victoria,"55 Johnston Street Fitzroy  VIC 3065, Australia","55 Johnston Street Fitzroy  VIC 3065, Australia",03 9416 2577,www.tuv.org.au,Tenancy
University of Melbourne Student Union Legal Service,"University of Melbourne, Tin Alley, Melbourne Innovation District, Parkville, Carlton, Melbourne, City of Melbourne, Victoria, 3053, Australia","3rd Floor, Union House University of Melbourne Parkville VIC 3010, Australia",03 8344 6546,msu.unimelb.edu.au/need-help/legal,"IP, victims of crime, summary/indictable offences, family, car accidents, wills, migrations quieries, employment, FOI, neighbourhood disputes and consumer complaints"
Victorian Aboriginal Legal Service,"273 High Street Preston VIC 3072, Australia","273 High Street Preston VIC 3072, Australia",1800 064 865,www.vals.org.au,"Criminal, family and civil law"
Villamanta Disability Rights Legal Service,"75 Pigdons Road Waurn Ponds VIC 3216, Australia","Building ib, Level 4 Deakin University 75 Pigdons Road Waurn Ponds VIC 3216, Australia",1800 014 111,www.villamanta.org.au,Disability related legal issues only. Our main focus is on the rights of people who have an intellectual disability
West Heidelberg Community Legal Service,"21 Alamein Rd Heidelberg West VIC 3081, Australia","21 Alamein Rd Heidelberg West VIC 3081, Australia",03 9450 2002,bchs.org.au/services/whclegal/,"Tenancy rights and responsibilities, infringements/fines (special circumstances only), uninsured motor vehicle accidents, divorce (no children), victims of crime, intervention orders and criminal matters"
WEstjustice,"8 Watton Street Werribee VIC 3030, Australia","Level 1, 8 Watton Street Werribee VIC 3030, Australia",03 9749 7720,www.westjustice.org.au,"Generalist including employment law for new arrivals and young people, tenancy, family violence, consumer law, infringements, debt and motor vehicle accidents"
Whittlesea Community Connections Community Legal Service,"583 High Street Epping VIC 3076, Australia","Shop 111, Pacific Epping 571-583 High Street Epping VIC 3076, Australia",03 9401 6655,www.whittleseacommunityconnections.org.au,"Family law, family violence, some criminal law, some civil law, other general areas, NO wills"
Women's Legal Service Victoria,"277 William Street Melbourne VIC 3000, Australia","Level 10 277 William Street Melbourne VIC 3000, Australia",03 8622 0600,www.womenslegal.org.au,"Family law, children and property, divorce, de facto property, intervention orders, VOCAT and child protection"
Young Workers Centre,"54 Victoria St, Carlton VIC 3053, Australia","﻿54 Victoria Street Carlton South VIC 3053, Australia",1800 714 754,www.youngworkers.org.au,Workplace rights for young workers
Youthlaw (Vic),"244 Flinders Street Melbourne VIC 3000, Australia","Frontyard Youth Services 244 Flinders Street Melbourne VIC 3000, Australia",03 9113 9500,www.youthlaw.asn.au,"Summary crime, fines, school issues, administrative law, other civil"
